chr	start	end	score
1	1350000	3400000	-0.142050353433
1	3400000	3900000	-0.156591170169
1	3900000	4650000	-0.556822693791
1	4650000	5950000	0.06674249082
1	5950000	6700000	-0.387998481039
1	6700000	7200000	-0.279913588034
1	7200000	7650000	0.285511959131
1	7650000	8400000	-0.204833377875
1	8400000	8850000	-0.3574948899
1	8850000	9250000	-0.542267684367
1	9250000	9600000	-0.077290140856
1	9600000	9900000	-0.321219752587
1	9900000	10450000	-0.019200181288
1	10450000	11000000	-0.477501683734
1	11000000	12250000	-0.875182144783
1	12250000	12650000	-0.45618029238
1	12650000	12950000	-0.133384014563
1	12950000	14600000	-0.731421179273
1	14600000	15100000	-0.045512179846
1	15100000	15500000	-0.198111524367
1	15500000	16550000	-0.190589657909
1	16550000	18550000	-0.668416995402
1	18550000	18900000	-0.244332407841
1	18900000	19650000	-0.01236998818
1	19650000	20200000	-0.208719666751
1	20200000	20500000	0.326831973111
1	20500000	21200000	-0.247396935145
1	21200000	21700000	-0.177207755437
1	21700000	22050000	-0.219754776799
1	22050000	22400000	-0.531316531203
1	22400000	22650000	-0.092133494295
1	22650000	22950000	-0.208196744439
1	22950000	23300000	-0.320359837118
1	23300000	23750000	-0.092497244952
1	23750000	24650000	-0.2737034842
1	24650000	24850000	-0.268406121085
1	24850000	25250000	-0.031989614914
1	25250000	25850000	-0.464775901802
1	25850000	26500000	-0.324124274464
1	26500000	26900000	-0.435852551771
1	26900000	29200000	-0.374770960638
1	29200000	30100000	-0.555208468572
1	30100000	30700000	-0.196395312725
1	30700000	31150000	-0.667111410193
1	31150000	32850000	-0.309293938181
1	32850000	33100000	-0.505384227361
1	33100000	33650000	-0.472231821956
1	33650000	34150000	-0.446251845672
1	34150000	34750000	0.223437157656
1	34750000	35200000	-0.629601393544
1	35200000	35800000	-0.110714945026
1	35800000	36500000	-0.335991801118
1	36500000	37450000	-0.810915275135
1	37450000	38000000	-0.651170131179
1	38000000	38850000	-0.616780699863
1	38850000	39800000	-0.707811544332
1	39800000	40050000	-0.472838453484
1	40050000	40450000	-0.588424462761
1	40450000	41000000	-0.514087130493
1	41000000	41500000	-0.600997505803
1	41500000	42150000	-0.438031178076
1	42150000	42750000	-0.479141111131
1	42750000	44000000	-0.382527255258
1	44000000	44700000	-0.507915548663
1	44700000	45550000	-0.776025322557
1	45550000	46300000	-0.538366096579
1	46300000	46700000	-0.817162560398
1	46700000	47350000	-0.095252984496
1	47350000	47750000	-0.425514067696
1	47750000	48500000	-0.341749221341
1	48500000	48900000	-0.244843214973
1	48900000	50350000	-0.327091938024
1	50350000	50700000	-0.659529275547
1	50700000	51300000	-0.31138113117
1	51300000	51800000	-0.596519565001
1	51800000	52350000	-0.287230028563
1	52350000	52700000	-0.283577704203
1	52700000	53200000	-0.429742003672
1	53200000	53800000	-0.559022697375
1	53800000	54500000	-0.357415916831
1	54500000	56800000	-0.135809081136
1	56800000	58150000	-0.582265171483
1	58150000	58700000	-0.14278803303
1	58700000	59750000	-0.589413691886
1	59750000	61850000	-0.609728808877
1	61850000	62100000	-0.401335586748
1	62100000	62450000	-0.566674894742
1	62450000	62800000	-0.567023803723
1	62800000	63550000	-0.60901838406
1	63550000	64250000	-0.660564611941
1	64250000	65700000	-0.708832410849
1	65700000	66250000	-0.082290468832
1	66250000	66750000	-0.408125615715
1	66750000	67500000	-0.429329543884
1	67500000	67800000	-0.437638887793
1	67800000	68100000	-0.428785395213
1	68100000	68450000	-0.217680440361
1	68450000	69750000	-0.730198773309
1	69750000	70150000	-0.387503528877
1	70150000	70500000	-0.389943946409
1	70500000	71100000	-0.615811762771
1	71100000	71550000	-0.691867901888
1	71550000	72150000	-0.115293996845
1	72150000	73150000	-0.42087271545
1	73150000	73700000	-0.145958087357
1	73700000	74750000	-0.150893026209
1	74750000	75250000	-0.765195997413
1	75250000	75850000	-0.302776255764
1	75850000	77150000	-0.599927655862
1	77150000	77550000	-0.614015772118
1	77550000	78150000	-0.366267329217
1	78150000	78650000	-0.472994553352
1	78650000	79500000	-0.522147985996
1	79500000	80200000	-0.183875157089
1	80200000	81800000	-0.501067765161
1	81800000	83900000	-0.531470256502
1	83900000	84450000	-0.662898351494
1	84450000	84950000	-0.158740279569
1	84950000	85300000	-0.396401596357
1	85300000	85700000	-0.60893820031
1	85700000	86350000	-0.198313520828
1	86350000	86700000	-0.253521589205
1	86700000	87100000	-0.492955309436
1	87100000	88600000	-0.695215645862
1	88600000	88950000	-0.668888411084
1	88950000	90050000	-0.73671550627
1	90050000	91150000	-0.801016202974
1	91150000	91500000	-0.357317253489
1	91500000	91950000	-0.500257387105
1	91950000	92300000	-0.497897940078
1	92300000	92800000	-0.32510981504
1	92800000	93250000	-0.531844785854
1	93250000	93900000	-0.287501426379
1	93900000	94500000	-0.519312452339
1	94500000	94800000	-0.345607646099
1	94800000	95250000	-0.301294062206
1	95250000	95900000	-0.650220510891
1	95900000	96250000	0.045772222044
1	96250000	96850000	-0.075722242802
1	96850000	98050000	-0.373285233415
1	98050000	98500000	-0.37681725946
1	98500000	99150000	-0.479020238795
1	99150000	99750000	0.086088478731
1	99750000	100450000	-0.759661719042
1	100450000	100900000	-0.356169385109
1	100900000	101300000	-0.742048809924
1	101300000	102450000	-0.57423826785
1	102450000	103550000	-0.189689907043
1	103550000	104750000	-0.759888456288
1	104750000	105800000	-0.311221979044
1	105800000	107150000	-0.340361038932
1	107150000	107750000	-0.479011876885
1	107750000	109100000	-0.567889235047
1	109100000	109550000	-0.510575719303
1	109550000	110050000	-0.504624740483
1	110050000	110500000	-0.499125640899
1	110500000	111100000	-0.338620765259
1	111100000	111450000	-0.29201801574
1	111450000	111750000	-0.595782345366
1	111750000	112350000	-0.594557000144
1	112350000	112700000	-0.579407430406
1	112700000	113100000	-0.605415980128
1	113100000	113700000	-0.687448623668
1	113700000	114350000	-0.634600104303
1	114350000	114700000	-0.355086430808
1	114700000	115100000	-0.360445345099
1	115100000	116150000	-0.330038005914
1	116150000	116550000	-0.492149764169
1	116550000	117050000	-0.529619048261
1	117050000	117500000	-0.293248289327
1	117500000	117950000	-0.090014331972
1	117950000	147250000	-0.417747991577
1	147250000	149850000	-0.203466342483
1	149850000	150250000	-0.678426312847
1	150250000	150550000	-0.416581305743
1	150550000	151000000	-0.279763474845
1	151000000	152450000	-0.480247417526
1	152450000	153300000	-0.208107364687
1	153300000	154000000	-0.49571967554
1	154000000	154950000	-0.260377326828
1	154950000	155200000	-0.273820684773
1	155200000	155600000	-0.369772219861
1	155600000	156600000	-0.344763370468
1	156600000	157150000	-0.382370506657
1	157150000	157500000	-0.524797950112
1	157500000	158150000	-0.014323652476
1	158150000	158500000	-0.571298076663
1	158500000	159000000	0.23563495913
1	159000000	159800000	-0.56523058966
1	159800000	160400000	-0.496522781452
1	160400000	160650000	-0.312762352937
1	160650000	161150000	-0.413982003781
1	161150000	161450000	-0.514515313762
1	161450000	161750000	-0.652175361615
1	161750000	162050000	-0.639848710273
1	162050000	162850000	-0.259936408176
1	162850000	163350000	-0.575904666001
1	163350000	164550000	-0.754633204073
1	164550000	165100000	-0.117364105854
1	165100000	165600000	-0.601962579552
1	165600000	165900000	-0.359347715671
1	165900000	166500000	-0.584335295928
1	166500000	166850000	-0.115099263807
1	166850000	167550000	-0.470666376937
1	167550000	168100000	-0.362270949669
1	168100000	168600000	-0.473097539941
1	168600000	169900000	-0.433259123591
1	169900000	170950000	-0.637862601237
1	170950000	171450000	-0.317720411725
1	171450000	172000000	-0.561826569205
1	172000000	172450000	-0.206387900753
1	172450000	172750000	-0.403463254545
1	172750000	173400000	-0.564109287245
1	173400000	173850000	-0.342662523531
1	173850000	174250000	-0.316566254026
1	174250000	174750000	-0.583258420781
